0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
203,20,10,164,12,3,200,12,6,128,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,4,1,8,0.70560
83,20,4,128,1,5,64,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,1,5,1,7,0.71180
83,20,4,128,1,5,128,1,5,128,1,5,64,1,9,100,12,3,172,12,6,0,0,0,1,2,1,3,1,7,1,11,0.72040
83,20,4,128,1,3,64,1,9,100,12,3,172,12,6,0,0,0,0,0,0,0,0,0,1,2,0,3,1,8,0,0,0.71360
111,12,9,64,1,10,152,40,3,64,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,1,6,0,8,0.70700
83,20,4,256,1,4,128,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,1,6,1,7,0.74540
83,20,4,128,1,3,64,1,9,64,1,9,100,12,3,172,12,6,176,12,4,0,0,0,1,2,0,3,1,9,0,0,0.71520
111,12,9,64,1,10,152,40,3,128,1,5,128,1,3,0,0,0,0,0,0,0,0,0,1,2,1,5,1,7,0,9,0.75180
83,20,4,64,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,1,4,0,6,0.64660
83,20,4,128,1,5,64,1,9,64,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,1,5,0,8,0.70160
111,12,9,64,1,10,152,40,3,64,1,8,136,12,6,0,0,0,0,0,0,0,0,0,1,2,0,5,1,6,1,9,0.72820
83,20,4,128,1,5,128,1,5,128,1,5,64,1,9,100,12,3,0,0,0,0,0,0,1,2,1,3,1,7,1,10,0.72200
83,20,4,256,1,4,128,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,1,6,1,7,0.74900
83,20,4,256,1,4,128,1,5,64,1,9,64,1,4,0,0,0,0,0,0,0,0,0,1,2,1,3,1,6,0,9,0.69300
111,12,9,64,1,10,152,40,3,64,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,1,6,1,8,0.72380
83,20,4,64,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,1,4,0,0,0.65360
111,12,9,64,1,10,152,40,3,64,1,8,64,1,9,100,12,3,0,0,0,0,0,0,1,2,0,5,1,6,1,10,0.71700
111,12,9,64,1,10,152,40,3,64,1,8,64,1,8,0,0,0,0,0,0,0,0,0,1,2,0,5,1,6,1,9,0.72120
83,20,4,128,1,5,256,1,4,128,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,1,7,1,8,0.73220
83,20,4,128,1,5,64,1,9,100,12,3,64,1,9,0,0,0,0,0,0,0,0,0,1,2,1,3,1,5,0,9,0.69040
83,20,4,256,1,4,256,1,4,128,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,1,7,1,8,0.75100
111,12,9,64,1,10,128,1,5,128,1,5,128,1,5,64,1,9,100,12,3,0,0,0,1,2,1,4,1,8,1,11,0.73960
111,12,9,64,1,10,152,40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,1,6,1,7,0.71100
83,20,4,128,1,3,64,1,9,100,12,3,172,12,6,64,1,8,0,0,0,0,0,0,1,2,1,3,1,5,1,10,0.69600
83,20,4,152,40,3,64,1,8,64,1,9,100,12,3,0,0,0,0,0,0,0,0,0,1,2,0,4,1,5,1,9,0.71200
83,20,4,192,40,4,256,1,4,256,1,4,128,1,5,64,1,8,0,0,0,0,0,0,1,2,0,3,1,8,1,10,0.72400
111,12,9,64,1,10,152,40,3,64,1,9,100,12,3,0,0,0,0,0,0,0,0,0,1,2,0,5,1,6,1,9,0.71940
83,20,4,128,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,1,5,1,6,0.73340
83,20,4,256,1,4,128,1,5,128,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,7,1,8,0.75840
203,20,10,128,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,1,5,1,6,0.74920
83,20,4,152,40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,1,4,1,5,0.60800
